id,A,E,G,Jxx,Ixt,Iyt,mass
col_c1,133.5,29000000,11328125,0,13480.99533,2196.734,14.09627329
col_c2,114,29000000,11328125,0,11667.759,1852.134,12.03726708
col_c3,97.17,29000000,11328125,0,8281.986683,1555.27495,10.26242236
col_c4,80.61,29000000,11328125,0,5872.116709,1528.856264,8.504658385
col_c5,63.5,29000000,11328125,0,3685.634012,1333.402388,6.704968944
col_c6,49.48,29000000,11328125,0,2368.709184,803.2801667,5.229813665
col_c7,32.535,29000000,11328125,0,1215.92959,646.0197164,3.406055901
col_c8,15,29000000,11328125,0,50.44,32.246,1.590062112
col_c9,15,29000000,11328125,0,50.44,32.246,1.590062112
col_c10,15,29000000,11328125,0,50.44,32.246,1.590062112
col_c11,15,29000000,11328125,0,50.44,32.246,1.590062112
col_c12,15,29000000,11328125,0,50.44,32.246,1.590062112
col_c13,15,29000000,11328125,0,50.44,32.246,1.590062112
col_ex1,59.38,29000000,11328125,0,4593.722528,649.4211655,6.263975155
col_ex2,42.99,29000000,11328125,0,2920.009089,401.3403085,4.545031056
col_ex3,32.485,29000000,11328125,0,1796.3014,292.2242037,3.441770186
col_ex4,22.88,29000000,11328125,0,985.5074013,141.6117545,2.416149068
col_ex5,14.615,29000000,11328125,0,470.9012773,57.66134784,1.542701863
col_ex6,14.615,29000000,11328125,0,470.9012773,57.66134784,1.542701863
col_ey1,63.44,29000000,11328125,0,6726.291701,985.1792823,6.695652174
col_ey2,50.35,29000000,11328125,0,3944.215893,533.5328699,5.315217391
col_ey3,45.815,29000000,11328125,0,3609.751176,479.1300262,4.834627329
col_ey4,28.75,29000000,11328125,0,2009.474667,252.8920983,3.035714286
col_ey5,20.43,29000000,11328125,0,1117.698088,119.3959271,2.166149068
col_ey6,19.68,29000000,11328125,0,852.502488,119.387138,2.086956522
col_i1,20.91,29000000,11328125,0,405.2,136.5,2.208074534
col_i2,17.57,29000000,11328125,0,331.9,112.2,1.854037267
col_i3,12.83,29000000,11328125,0,158.3,53.4,1.354037267
col_i4,10.17,29000000,11328125,0,121.5,41.1,1.074534161
col_i5,9.35,29000000,11328125,0,109.1,28.5,0.98757764
col_i6,9.35,29000000,11328125,0,109.1,28.5,0.98757764
beam_ex1-7,12.06,29000000,11328125,0,256.2,13.79712896,1.273291925
beam_in1-7,5.33,29000000,11328125,0,56.9,3.78,0.559006211
beam_ex8,12.06,29000000,11328125,0,256.2,13.79712896,1.273291925
beam_in8,5.33,29000000,11328125,0,56.9,3.78,0.559006211
beam_ex9,13.5,29000000,11328125,0,712,22.5,1.428571429
beam_in9,22.3,29000000,11328125,0,1330,152,2.360248447
beam_ex10,17.6,29000000,11328125,0,16.86,35.1,2.105590062
beam_in10,13.5,29000000,11328125,0,712,22.5,1.428571429
beam_ex11,6.08,29000000,11328125,0,129,3.86,0.642857143
beam_in11,8.79,29000000,11328125,0,238,20.3,0.931677019
beam_ex12,10,29000000,11328125,0,315,8.07,1.052795031
beam_in12,5.26,29000000,11328125,0,61.9,7.97,0.559006211
beam_ex13,6.08,29000000,11328125,0,129,3.86,0.642857143
beam_ex14,6.08,29000000,11328125,0,129,3.86,0.642857143
beam_ex15,4.5,29000000,11328125,0,54,0.052734375,0.039591615
br_ge,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_gi,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_1e,7.94,29000000,11328125,0,29.52,12.829434,0.838509317
br_1i,4.96,29000000,11328125,0,7.92,6.857664,0.527950311
br_2e,6.84,29000000,11328125,0,25.72,10.948844,0.726708075
br_2i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_3e,5.74,29000000,11328125,0,9.04,8.0336,0.608695652
br_3i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_4e,4.96,29000000,11328125,0,7.92,6.857664,0.527950311
br_4i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_5e,4.18,29000000,11328125,0,6.76,5.714368,0.447204969
br_5i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_6e,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_6i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_7e,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_7i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_8e,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_8i,3.56,29000000,11328125,0,4.38,3.338176,0.378881988
br_roof,3.75,29000000,11328125,0,5.56,5.56,0.795031056
br_truss,15,29000000,11328125,0,50.44,32.246,1.590062112
br_p1,38.64385315,1870,748,0,115.9315595,133.584947,0.000001
br_p2,73.18886941,1870,748,0,219.5666082,907.5098938,0.000001
br_p3,73.18886941,1870,748,0,219.5666082,907.5098938,0.000001
br_p4,73.18886941,1870,748,0,219.5666082,907.5098938,0.000001
br_p5,73.18886941,1870,748,0,219.5666082,907.5098938,0.000001
br_p6,73.18886941,1870,748,0,219.5666082,907.5098938,0.000001
br_p7,192.4722152,1870,748,0,577.4166456,16505.18465,0.000001
br_p8,55.01486089,1870,748,0,165.0445827,385.4395812,0.000001
br_cp1,58.4613907,3320.560947,1383.567061,0,394.6143872,205.5612083,0.000001
br_cp2,111.0330716,3320.560947,1383.567061,0,749.473233,1408.28579,0.000001
br_cp3,111.0330716,3320.560947,1383.567061,0,749.473233,1408.28579,0.000001
br_cp4,111.0330716,3320.560947,1383.567061,0,749.473233,1408.28579,0.000001
br_cp5,111.0330716,3320.560947,1383.567061,0,749.473233,1408.28579,0.000001
br_cp6,111.0330716,3320.560947,1383.567061,0,749.473233,1408.28579,0.000001
br_cp7,293.7648468,3320.560947,1383.567061,0,1982.912716,26081.53872,0.000001
br_cp8,83.39001804,3320.560947,1383.567061,0,562.8826218,596.5899574,0.000001
